region,year,crop_type,yield_kg_per_hectare,soil_sustainability_score
North,2015,Wheat,2402.46,78.14
North,2015,Corn,6499.76,78.14
North,2015,Soybean,3259.43,78.14
North,2015,Rice,7388.33,78.14
North,2015,Barley,3230.84,78.14
South,2015,Wheat,3144.13,57.69
South,2015,Corn,2219.3,57.69
South,2015,Soybean,4832.4,57.69
South,2015,Rice,5389.05,57.69
South,2015,Barley,2394.25,57.69
East,2015,Wheat,6653.17,88.66
East,2015,Corn,4719.73,88.66
East,2015,Soybean,5146.34,88.66
East,2015,Rice,4644.58,88.66
East,2015,Barley,4404.58,88.66
West,2015,Wheat,5357.84,74.74
West,2015,Corn,2931.44,74.74
West,2015,Soybean,3091.57,74.74
West,2015,Rice,7170.71,74.74
West,2015,Barley,7676.69,74.74
Central,2015,Wheat,4239.86,76.26
Central,2015,Corn,3624.47,76.26
Central,2015,Soybean,5864.0,76.26
Central,2015,Rice,4452.41,76.26
Central,2015,Barley,2152.32,76.26
North,2016,Wheat,2936.92,61.43
North,2016,Corn,6295.83,61.43
North,2016,Soybean,5953.54,61.43
North,2016,Rice,2162.58,61.43
North,2016,Barley,3331.83,61.43
South,2016,Wheat,3386.45,61.16
South,2016,Corn,6031.36,61.16
South,2016,Soybean,2118.26,61.16
South,2016,Rice,2624.65,61.16
South,2016,Barley,6799.5,61.16
East,2016,Wheat,3071.27,71.54
East,2016,Corn,5916.48,71.54
East,2016,Soybean,3429.1,71.54
East,2016,Rice,2596.65,71.54
East,2016,Barley,3459.03,71.54
West,2016,Wheat,6333.6,62.27
West,2016,Corn,7134.18,62.27
West,2016,Soybean,6981.32,62.27
West,2016,Rice,4383.1,62.27
West,2016,Barley,6008.51,62.27
Central,2016,Wheat,3229.91,67.63
Central,2016,Corn,3758.89,67.63
Central,2016,Soybean,7378.01,67.63
Central,2016,Rice,2078.01,67.63
Central,2016,Barley,2513.05,67.63
North,2017,Wheat,3247.32,49.75
North,2017,Corn,2159.19,49.75
North,2017,Soybean,3088.61,49.75
North,2017,Rice,5498.25,49.75
North,2017,Barley,4528.55,49.75
South,2017,Wheat,7356.03,71.86
South,2017,Corn,6904.66,71.86
South,2017,Soybean,4050.9,71.86
South,2017,Rice,3556.54,71.86
