source_nutrient,target_nutrient,effect_type,weight
N,P,stimulation,0.96
N,Ca,stimulation,0.24
N,Mg,antagonism,0.15
N,Mn,antagonism,0.97
N,Mo,antagonism,0.26
P,N,antagonism,0.37
P,K,stimulation,0.49
P,Ca,antagonism,0.65
P,Mg,antagonism,0.36
P,Fe,stimulation,0.51
P,Cu,antagonism,0.56
P,Mn,stimulation,0.14
P,Mo,antagonism,0.16
K,Mg,stimulation,0.19
K,Zn,stimulation,0.21
K,Cu,stimulation,0.13
K,B,antagonism,0.7
K,Mo,stimulation,0.57
Ca,N,stimulation,0.27
Ca,Zn,stimulation,0.93
Ca,Cu,antagonism,0.28
Ca,Mn,antagonism,0.39
Ca,B,stimulation,0.34
Mg,N,stimulation,0.35
Mg,P,stimulation,0.23
Mg,Ca,antagonism,0.99
Mg,Zn,antagonism,0.1
Fe,N,antagonism,0.42
Fe,P,antagonism,0.88
Fe,Ca,stimulation,0.16
Fe,Mg,stimulation,0.39
Fe,B,stimulation,0.21
Zn,P,stimulation,0.79
Zn,K,stimulation,0.57
Zn,Ca,stimulation,0.12
Zn,Mg,antagonism,0.13
Zn,Cu,stimulation,0.56
Zn,B,antagonism,0.47
Cu,N,antagonism,0.17
Cu,P,antagonism,0.25
Cu,Mn,antagonism,0.9
Cu,B,stimulation,0.83
Mn,N,stimulation,0.2
Mn,P,antagonism,0.48
Mn,Mg,antagonism,0.56
Mn,Fe,stimulation,0.3
Mn,Zn,antagonism,0.4
Mn,B,stimulation,0.57
B,N,stimulation,0.97
B,K,antagonism,0.55
B,Ca,stimulation,0.36
B,Mg,antagonism,0.65
B,Fe,stimulation,0.15
B,Zn,antagonism,0.92
B,Cu,antagonism,0.23
B,Mn,stimulation,0.99
B,Mo,antagonism,0.7
Mo,P,antagonism,0.76
Mo,K,stimulation,0.67
Mo,Mg,stimulation,0.18
Mo,Zn,stimulation,0.27
Mo,Cu,antagonism,0.63
Mo,B,antagonism,0.56
